##################################################*
##################################################*
##                                             ###*
## #########-#########################-####### ###*
## #########                           ####### ###*
## ################################### ####### ###*
## ################################### ####### ###*
## ################################### ####### ###*
## #    #     ######################## ####### ###*
## #    |     ####b     T############# ####T## ###*
## #    #     ####      T####b|||      #### ## ###*
## #    #     ####       ############# #### ## ###*
## ##-####### ####-###################-#    ## ###*
## |               ################### |    ## ###*
## ################################### #   b## ###*
## ###################################-#######T###*
## #    b#############################-####### ###*
## |    T########################          ### ###*
## #     ########################          ### ###*
## ##########                T###         T### ###*
## ##########                 ### ######## ### ###*
## ##########                 ### ##   %## ### ###*
## |   ######                 ### ##    ## ### ###*
## #   ######                 ### ##-##-## ### ###*
## #   ######      #####      ### ## ## ## ### ###*
## |   ######                 ###          ### ###*
## #############-#########-################### ###*
## ##########                 ################ ###*
##                                             ###*
##############-####--#--##########################*
##############  #b       #########################*
##############   |       #########################*
##################       #########################*
##                   @                       #####*
##################################################*

17,31 Door vertical
14,29 Door horizontal
19,29 Door horizontal
20,29 Door horizontal
22,29 Door horizontal
23,29 Door horizontal
16,26 Door horizontal
26,26 Door horizontal
03,25 Door vertical
03,22 Door vertical
36,23 Door horizontal,locked
39,23 Door horizontal
03,17 Door vertical
38,16 Door horizontal,locked
38,15 Door horizontal
03,13 Door vertical,locked
39,13 Door vertical
05,12 Door horizontal
18,12 Door horizontal
38,12 Door horizontal,locked
30,10 Door vertical
31,10 Door vertical,locked
32,10 Door vertical
08,09 Door vertical
12,03 Door horizontal
38,03 Door horizontal

17,30 Button switch,17,31
08,16 Button open,03,13
43,14 Button open,38,16
29,10 Button open,38,12
18,09 Button open,31,10

